Expert,Shortfall,BestEstimateR,MinKnowledge,MaxKnowledge,ConfExpert,CredExpert,Domain,Group,FuncGroup,Subgroup
Annon3,RAUNKIAERAN,80,70,90,90,80,Animalia,Invertebrata,Free living invertebrates,Crustaceans
Annon3,WALLACEAN,3,1,10,80,80,Microorganisms,Virus,Virus,
Annon3,WALLACEAN,5,1,10,80,80,Microorganisms,SAR/Chromista,Protozoans,
Annon3,WALLACEAN,8,3,15,80,80,Microorganisms,Procaryota,Bacteria,
Annon3,WALLACEAN,8,3,15,80,80,Microorganisms,Procaryota,Archaea,
Annon3,WALLACEAN,10,3,20,80,80,Fungi,Holomycota,Non-lichenic fungi and yeast,
Annon3,WALLACEAN,40,25,60,90,80,Microorganisms,SAR/Chromista,Algal mix,
Annon3,WALLACEAN,40,15,60,70,80,Animalia,Invertebrata,Free living invertebrates,Non arthropods
Annon3,WALLACEAN,60,50,70,80,80,Animalia,Invertebrata,Free living invertebrates,Soil Arthropoda
Annon3,WALLACEAN,80,70,90,90,80,Animalia,Invertebrata,Free living invertebrates,Crustaceans
Annon4,DARWINIAN,0.2,0.1,0.3,80,80,Microorganisms,Virus,Virus,
Annon4,DARWINIAN,0.5,0.1,1,80,80,Microorganisms,Procaryota,Archaea,
Annon4,DARWINIAN,5,0.5,10,90,80,Microorganisms,Procaryota,Bacteria,
Annon4,DARWINIAN,5,2,7.5,80,80,Fungi,Holomycota,Non-lichenic fungi and yeast,
Annon4,DARWINIAN,30,25,35,80,80,Microorganisms,SAR/Chromista,Algal mix,
Annon4,DARWINIAN,50,40,60,90,80,Fungi,Holomycota,Lichenic fungi,
Annon4,ELTONIAN,0.1,0,0.2,80,80,Microorganisms,Procaryota,Archaea,
Annon4,ELTONIAN,1,0.25,1.5,80,80,Microorganisms,Virus,Virus,
Annon4,ELTONIAN,1,0.1,2,80,80,Fungi,Holomycota,Non-lichenic fungi and yeast,
Annon4,ELTONIAN,1,0.1,2,90,80,Microorganisms,Procaryota,Bacteria,
Annon4,ELTONIAN,20,10,30,90,80,Fungi,Holomycota,Lichenic fungi,
Annon4,ELTONIAN,20,10,30,80,80,Microorganisms,SAR/Chromista,Algal mix,
Annon4,HUTCHINSONIAN,0.05,0,0.1,80,80,Microorganisms,Virus,Virus,
Annon4,HUTCHINSONIAN,1,0.1,2,80,80,Microorganisms,Procaryota,Archaea,
Annon4,HUTCHINSONIAN,3,1,5,90,80,Microorganisms,Procaryota,Bacteria,
Annon4,HUTCHINSONIAN,5,1,10,80,80,Fungi,Holomycota,Non-lichenic fungi and yeast,
Annon4,HUTCHINSONIAN,50,40,60,80,80,Microorganisms,SAR/Chromista,Algal mix,
Annon4,HUTCHINSONIAN,60,50,70,90,80,Fungi,Holomycota,Lichenic fungi,
Annon4,LINNEAN,1,0.1,2,80,80,Microorganisms,Virus,Virus,
Annon4,LINNEAN,2,1,5,80,80,Microorganisms,Procaryota,Archaea,
Annon4,LINNEAN,10,5,20,80,80,Fungi,Holomycota,Non-lichenic fungi and yeast,
Annon4,LINNEAN,20,10,30,90,80,Microorganisms,Procaryota,Bacteria,
Annon4,LINNEAN,50,40,60,80,80,Microorganisms,SAR/Chromista,Algal mix,
Annon4,LINNEAN,65,55,75,90,80,Fungi,Holomycota,Lichenic fungi,
Annon4,PRESTONIAN,0.2,0.1,0.3,80,80,Microorganisms,Virus,Virus,
Annon4,PRESTONIAN,0.5,0.1,1,80,80,Microorganisms,Procaryota,Archaea,
Annon4,PRESTONIAN,2,1,4,80,80,Fungi,Holomycota,Non-lichenic fungi and yeast,
