SpeciesAccepted,Kingdom.x,Phylum.x,Class,Order,Family,Genus,YearofDiscovery,YearGBIF,YearSACs,AntarcticRecordSource,expertAssignedBiogeography,autoGBIFBiogeogrClassAssign,expertAssignLifeform,Raunkieran,Hutchinsonian,Darwinean,Wallacean,Eltonian
Bryophyllum tegularum,SAR/Protist,Ciliophora,Gymnostomatea,Spathidiida,Spathidiidae,Bryophyllum,1931,,1931,Thompson A. Powell G. & Adams B. (2019). Provisional checklist of terrestrial heterotrophic protists from Antarctica. Antarctic Science 31(6) 287-303. doi:10.1017/S0954102019000361,Unclassified,UncertainGlobally,Unclassified,0,0,0,0,0
Bryoria austromontana,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Bryoria,1983,1992,1992,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Unclassified,Cosmopolitan,Symbiont,0,0,0,1,0
Bryoria forsteri,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Bryoria,2004,2006,2004,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Endemic,Symbiont,0,0,0,1,0
Bryoscyphus aestivalis,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Bryoscyphus,1988,,1988,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,UncertainGlobally,Non-lichenized,0,0,0,0,0
Bryosphaeria megaspora,Fungi,Ascomycota,Dothideomycetes,Dothideales,incerta,Bryosphaeria,1980,,1980,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,Endemic,Non-lichenized,0,0,0,0,0
Buckleyzyma aurantiaca,Fungi,Basidiomycota,Cystobasidiomycetes,Buckleyzymales,Buckleyzymaceae,Buckleyzyma,2015,,2015,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,UncertainAntartic,Non-lichenized,0,0,1,0,0
Buellia bouvetii,Fungi,Ascomycota,Lecanoromycetes,Caliciales,Caliciaceae,Buellia,1986,2011,2011,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Antarctic Endemic,Cosmopolitan,Symbiont,0,0,0,1,0
Buellia evanescens,Fungi,Ascomycota,Lecanoromycetes,Caliciales,Caliciaceae,Buellia,1923,2007,1923,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Antarctic Endemic,Endemic,Symbiont,0,0,0,1,0
Buellia grisea,Fungi,Ascomycota,Lecanoromycetes,Caliciales,Caliciaceae,Buellia,1938,1958,1958,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Antarctic Endemic,Cosmopolitan,Symbiont,0,0,0,1,0
Buellia illaetabilis,Fungi,Ascomycota,Lecanoromycetes,Caliciales,Caliciaceae,Buellia,1968,1945,1945,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Antarctic Endemic,Cosmopolitan,Symbiont,0,0,0,1,0
Buellia lignoides,Fungi,Ascomycota,Lecanoromycetes,Caliciales,Caliciaceae,Buellia,1966,1974,1966,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Antarctic Endemic,Endemic,Symbiont,0,0,0,1,0
Buellia minispora,Fungi,Ascomycota,Lecanoromycetes,Caliciales,Caliciaceae,Buellia,2019,,2019,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,UncertainGlobally,Symbiont,0,0,0,0,0
Buellia pallida,Fungi,Ascomycota,Lecanoromycetes,Caliciales,Caliciaceae,Buellia,1938,1962,1938,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Antarctic Endemic,Endemic,Symbiont,0,0,0,1,0
Buellia perlata,Fungi,Ascomycota,Lecanoromycetes,Caliciales,Caliciaceae,Buellia,1923,1973,1973,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Antarctic Endemic,Cosmopolitan,Symbiont,0,0,0,1,0
Buellia pycnogonoides,Fungi,Ascomycota,Lecanoromycetes,Caliciales,Caliciaceae,Buellia,1923,2007,1923,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Antarctic Endemic,Endemic,Symbiont,0,0,0,1,0
Buellia rodseppelti,Fungi,Ascomycota,Lecanoromycetes,Caliciales,Caliciaceae,Buellia,2019,,2019,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,UncertainGlobally,Symbiont,0,0,0,0,0
Buellia russa,Fungi,Ascomycota,Lecanoromycetes,Caliciales,Caliciaceae,Buellia,1923,1977,1977,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Antarctic Endemic,Cosmopolitan,Symbiont,0,0,1,1,0
Buellia soredians,Fungi,Ascomycota,Lecanoromycetes,Caliciales,Caliciaceae,Buellia,1974,1982,1982,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Antarctic Endemic,Cosmopolitan,Symbiont,0,0,0,1,0
Buellia subfrigida,Fungi,Ascomycota,Lecanoromycetes,Caliciales,Caliciaceae,Buellia,1993,2002,1993,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Antarctic Endemic,Endemic,Symbiont,0,0,0,1,0
Bulleromyces albus,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Bulleromyces,1991,2006,2006,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,Cosmopolitan,Non-lichenized,0,0,1,1,0
Byssochlamys lagunculariae,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Byssochlamys,2020,,2020,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,UncertainAntartic,Non-lichenized,0,0,1,0,0
Cadophora luteo-olivacea,Fungi,Ascomycota,Leotiomycetes,Helotiales,Ploettnerulaceae,Cadophora,2003,2006,2006,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,Cosmopolitan,Non-lichenized,0,0,1,1,0
Cadophora malorum,Fungi,Ascomycota,Leotiomycetes,Helotiales,Ploettnerulaceae,Cadophora,2000,2005,2005,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,Cosmopolitan,Non-lichenized,0,0,1,1,0
