SpeciesAccepted,Kingdom.x,Phylum.x,Class,Order,Family,Genus,YearofDiscovery,YearGBIF,YearSACs,AntarcticRecordSource,expertAssignedBiogeography,autoGBIFBiogeogrClassAssign,expertAssignLifeform,Raunkieran,Hutchinsonian,Darwinean,Wallacean,Eltonian
Cadophora fastigiata,Fungi,Ascomycota,Leotiomycetes,Helotiales,Ploettnerulaceae,Cadophora,1928,2015,2015,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,Cosmopolitan,Non-lichenized,0,0,1,1,1
Cadophora melinii,Fungi,Ascomycota,Leotiomycetes,Helotiales,Ploettnerulaceae,Cadophora,1934,2005,2005,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,Cosmopolitan,Non-lichenized,0,0,1,1,1
Calogaya pusilla,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,Calogaya,1784,,1784,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Unclassified,Cosmopolitan,Symbiont,0,0,1,1,1
Calogaya saxicola,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,Calogaya,1972,,1972,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Global,Cosmopolitan,Symbiont,0,0,1,1,1
Caloneis bacillum,SAR/Protist,Ochrophyta,Bacillariophyceae,Naviculales,Naviculaceae,Caloneis,1863,,1863,Jones V. J. Juggins S. & Ellis-Evans J. C. (1993). The relationship between water chemistry and surface sediment diatom assemblages in Maritime Antarctic lakes. Antarctic Science 5 339-348.,Global,UncertainAntartic,Free-living,0,0,0,0,1
Caloplaca cinnamomea,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Telochistaceae,Caloplaca,1909,,1909,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Unclassified,Cosmopolitan,Symbiont,0,0,1,0,1
Caloplaca regalis,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,Caloplaca,1931,,1931,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Unclassified,Cosmopolitan,Unclassified,0,0,1,1,1
Candelariella placodizans,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Candelariaceae,Candelariella,1935,1989,1989,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Symbiont,0,0,1,1,1
Candida albicans,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,1923,,1923,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,UncertainAntartic,Non-lichenized,0,0,1,0,1
Candida intermedia,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,1938,,1938,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,UncertainAntartic,Non-lichenized,0,0,1,0,1
Candida parapsilosis,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,1932,2012,2012,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,Cosmopolitan,Non-lichenized,0,0,1,1,1
Candida rugosa,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,2015,,2015,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,UncertainAntartic,Non-lichenized,0,0,1,0,1
Carbonea antarctica,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Lecanoraceae,Carbonea,2006,1940,2006,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,Endemic,Non-lichenized,0,0,0,1,1
Carbonea inactiva,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Lecanoraceae,Carbonea,1984,2002,2002,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Antarctic and Sudamerican,Cosmopolitan,Symbiont,0,0,0,1,1
Catapyrenium daedaleum,Fungi,Ascomycota,Eurotiomycetes,Verrucariales,Verrucariaceae,Catapyrenium,1879,1966,1966,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Symbiont,0,0,1,1,1
Catapyrenium lachneum,Fungi,Ascomycota,Eurotiomycetes,Verrucariales,Verrucariaceae,Catapyrenium,1980,1987,1987,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Symbiont,0,0,1,1,1
Cephalotrichum stemonitis,Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Cephalotrichum,1809,,1809,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,UncertainAntartic,Non-lichenized,0,0,1,0,1
Ceratophysella succinea,Animalia,Arthropoda,Collembola,Poduromorpha,Hypogastruridae,Ceratophysella,1949,,1949,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Alien Non-Native Introduced,UncertainAntartic,Free-living,0,0,1,0,1
Chaetomium piluliferum,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,1961,,1961,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,Cosmopolitan,Non-lichenized,0,0,1,0,1
Chlamydomonas intermedia,Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Chlamydomonas,1894,2000,1894,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Endemic,Unclassified,0,0,1,1,1
Chlorella vulgaris,Plantae,Chlorophyta,Chlorophyceae,Chlorellales,Chlorellaceae,Chlorella,1890,2020,2020,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Unclassified,0,0,1,1,1
Chlorococcum infusionum,Plantae,Chlorophyta,Chlorophyceae,Chlorococcales,Chlorococcaceae,Chlorococcum,1843,,1843,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Unclassified,0,0,1,0,1
Chromelosporium fulvum,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Chromelosporium,1960,,1960,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,UncertainAntartic,Non-lichenized,0,0,1,0,1
Chrysosporium carmichaelii,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,Chrysosporium,1980,,1980,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,UncertainAntartic,Non-lichenized,0,0,1,0,1
Chrysosporium merdarium,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,Chrysosporium,1962,,1962,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,UncertainAntartic,Non-lichenized,0,0,1,0,1
Chrysothrix chlorina,Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Chrysothricaceae,Chrysothrix,1981,1967,1967,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Symbiont,0,0,0,1,1
Chydorus sphaericus,Animalia,Arthropoda,Branchiopoda,Anomopoda,Chydoridae,Chydorus,1776,,1776,Laybourn-Parry J. & Pearce D. A. The biodiversity and ecology of Antarctic lakes: models for evolution. Philosophical Transactions of the Royal Society B: Biological Sciences 362 2273–2289 (2007).,Unclassified,Cosmopolitan,Unclassified,0,0,1,1,1
Chytridium versatile,Fungi,Chytridiomycota,Chytridiomycetes,Chytridiales,Chytridiaceae,Chytridium,1926,,1926,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,UncertainGlobally,Non-lichenized,0,0,0,0,1
Chytriomyces willoughbyi,Fungi,Chytridiomycota,Chytridiomycetes,Chytridiales,Chytriomycetaceae,Chytriomyces,1956,,1956,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,UncertainAntartic,Non-lichenized,0,0,0,0,1
Cinetochilum margaritaceum,SAR/Protist,Ciliophora,Oligohymenophorea,Hymenostomatida,Cinetochilidae,Cinetochilum,1831,,1831,Thompson A. Powell G. & Adams B. (2019). Provisional checklist of terrestrial heterotrophic protists from Antarctica. Antarctic Science 31(6) 287-303. doi:10.1017/S0954102019000361,Unclassified,UncertainAntartic,Unclassified,0,0,1,0,1
Cistella grevillei,Fungi,Ascomycota,Leotiomycetes,Rhytismatales,Calloriaceae,Cistella,1978,,1978,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,Cosmopolitan,Non-lichenized,0,0,1,1,1
Cladia aggregata,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladia,1870,1968,1968,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Global,Cosmopolitan,Symbiont,0,0,1,0,1
Cladonia mitis,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,1918,,1918,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Unclassified,Cosmopolitan,Symbiont,0,0,1,1,1
Cladonia pycnoclada,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,1867,1968,1968,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Antarctic and Sudamerican,Cosmopolitan,Symbiont,0,0,1,0,1
Cladosporium antarcticum,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,2007,,2007,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,Endemic,Non-lichenized,0,0,1,0,1
Cladosporium cladosporioides,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,1952,,1952,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Non-lichenized,0,0,1,1,1
Cladosporium macrocarpum,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,1848,,1848,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,Cosmopolitan,Non-lichenized,0,0,1,0,1
Cladosporium oxysporum,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,1869,2016,2016,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,Cosmopolitan,Non-lichenized,0,0,1,0,1
Collariella gracilis,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Collariella,2022,,2022,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,UncertainAntartic,Non-lichenized,0,0,1,0,1
Colpodella edax,SAR/Protist,Apicomplexa,Apicomonadea,Colpodellida,Colpodellidae,Colpodella,1892,,1892,Thompson A. Powell G. & Adams B. (2019). Provisional checklist of terrestrial heterotrophic protists from Antarctica. Antarctic Science 31(6) 287-303. doi:10.1017/S0954102019000361,Unclassified,UncertainAntartic,Unclassified,0,0,1,0,1
Coniochaeta ligniaria,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,1887,,1887,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,UncertainAntartic,Non-lichenized,0,0,1,0,1
Coprinopsis martinii,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,2001,,2001,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,UncertainAntartic,Non-lichenized,0,0,1,0,1
Corynosoma bullosum,Animalia,Acanthocephala,Paleoacanthocephala,Polymorphida,Polymorphidae,Corynosoma,1892,1983,1983,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Parasite,0,0,1,1,1
Corynosoma hamanni,Animalia,Acanthocephala,Paleoacanthocephala,Polymorphida,Polymorphidae,Corynosoma,1892,1910,1892,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Endemic,Parasite,0,0,1,1,1
Corynosoma pseudohamanni,Animalia,Acanthocephala,Paleoacanthocephala,Polymorphida,Polymorphidae,Corynosoma,1984,1912,1984,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Endemic,Parasite,0,0,0,1,1
Corynosoma shackletoni,Animalia,Acanthocephala,Paleoacanthocephala,Polymorphida,Polymorphidae,Corynosoma,1978,1983,1978,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Endemic,Parasite,0,0,0,1,1
Cosmarium laeve,Plantae,Chlorophyta,Zygnemaphyceae,Desmidiales,Desmidiaceae,Cosmarium,1868,,1868,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Unclassified,0,0,1,0,1
Cryptococcus macerans,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Cryptococcus,1970,,1970,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,UncertainAntartic,Non-lichenized,0,0,1,0,1
Cyclidium elongatum,SAR/Protist,Ciliophora,Oligohymenophorea,Scuticociliatida,Cyclidiidae,Cyclidium,1786,1971,1971,Thompson A. Powell G. & Adams B. (2019). Provisional checklist of terrestrial heterotrophic protists from Antarctica. Antarctic Science 31(6) 287-303. doi:10.1017/S0954102019000361,Unclassified,Cosmopolitan,Unclassified,0,0,0,0,1
Cyrtolophosis mucicola,SAR/Protist,Myzozoa,Colpodea,Cyrtolophosidida,Cyrtolophosididae,Cyrtolophosis,1885,,1885,Thompson A. Powell G. & Adams B. (2019). Provisional checklist of terrestrial heterotrophic protists from Antarctica. Antarctic Science 31(6) 287-303. doi:10.1017/S0954102019000361,Unclassified,UncertainAntartic,Unclassified,0,0,1,0,1
Cystocoleus ebeneus,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cystocoleaceae,Cystocoleus,1849,1965,1965,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Symbiont,0,0,1,1,1
Cystopage lateralis,Fungi,Zygomycota,Zoopagomycetes,Zoopagales,Zoopagaceae,Cystopage,1941,,1941,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,UncertainGlobally,Non-lichenized,0,0,0,0,1
Dacrymyces stillatus,Fungi,Basidiomycota,Dacrymycetes,Dacrymycetales,Dacrymycetaceae,Dacrymyces,1817,,1817,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,UncertainAntartic,Non-lichenized,0,0,1,0,1
Dactylella candida,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Dactylella,1816,,1816,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,UncertainAntartic,Non-lichenized,0,0,1,0,1
Dactylella leptospora,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Dactylella,1937,,1937,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,UncertainAntartic,Non-lichenized,0,0,1,0,1
Dactylellina cionopaga,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Dactylellina,2006,,2006,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,UncertainAntartic,Non-lichenized,0,0,1,0,1
Dactylellina ellipsospora,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Dactylellina,2020,,2020,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,Cosmopolitan,Non-lichenized,0,0,1,0,1
Dermatocarpon intestiniforme,Fungi,Ascomycota,Eurotiomycetes,Verrucariales,Verrucariaceae,Dermatocarpon,1912,1966,1966,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Symbiont,0,0,1,1,1
Desmococcus olivaceus,Plantae,Chlorophyta,Chlorophyceae,Chaetophorales,Chaetophoraceae,Desmococcus,1985,,1985,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Unclassified,0,0,1,0,1
Dictyochloropsis splendida,Plantae,Chlorophyta,Trebouxiophyceae,Microthamniales,incerta,Dictyochloropsis,1966,,1966,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Unclassified,0,0,1,0,1
Dioszegia hungarica,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Dioszegia,1957,2015,2015,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,Cosmopolitan,Non-lichenized,0,0,1,0,1
Dipodascus geotrichum,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Dipodascaceae,Dipodascus,1809,2006,2006,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,Cosmopolitan,Non-lichenized,0,0,1,1,1
Docophoroides brevis,Animalia,Arthropoda,Insecta,Psocodea,Philopteridae,Docophoroides,1835,,1835,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Parasite,0,0,1,1,1
Docophoroides murphyi,Animalia,Arthropoda,Insecta,Psocodea,Philopteridae,Docophoroides,1914,1913,1913,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Parasite,0,0,0,1,1
Docophoroides simplex,Animalia,Arthropoda,Insecta,Psocodea,Philopteridae,Docophoroides,1914,,1914,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Parasite,0,0,1,1,1
Drechmeria coniospora,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Drechmeria,1985,,1985,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,UncertainAntartic,Non-lichenized,0,0,1,0,1
Eiglera flavida,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Eigleraceae,Eiglera,1984,1995,1995,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Symbiont,0,0,1,1,1
Enchylium coccophorum,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Collemataceae,Enchylium,2014,,2014,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Symbiont,0,0,1,1,1
Enchylium tenax,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Collemataceae,Enchylium,1862,1967,1967,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Symbiont,0,0,0,1,1
Encyonema minutum,SAR/Protist,Ochrophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema,1862,,1862,Jones V. J. Juggins S. & Ellis-Evans J. C. (1993). The relationship between water chemistry and surface sediment diatom assemblages in Maritime Antarctic lakes. Antarctic Science 5 339-348.,Global,UncertainAntartic,Free-living,0,0,1,0,1
Endococcus matzeri,Fungi,Ascomycota,Dothideomycetes,Dothideales,Lichenotheliaceae,Endococcus,2006,,2006,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,UncertainGlobally,Non-lichenized,0,0,0,0,1
Endococcus propinquus,Fungi,Ascomycota,Dothideomycetes,Dothideales,Lichenotheliaceae,Endococcus,1979,,1979,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Symbiont,0,0,0,0,1
Enteromorpha intestinalis,Plantae,Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Enteromorpha,1820,,1820,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,Cosmopolitan,Unclassified,0,0,1,0,1
Epicoccum sorghinum,Fungi,Ascomycota,Dothidemycetes,Pleosporales,Didymellaceae,Epicoccum,1878,,1878,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,UncertainAntartic,Non-lichenized,0,0,1,0,1
Episbates pederiformis,Animalia,Arthropoda,Insecta,Psocodea,Philopteridae,Episbates,1835,,1835,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Unclassified,UncertainAntartic,Parasite,0,0,1,0,1
Exophiala dermatitidis,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,1977,,1977,Bridge P Spooner BM Roberts P (2010) List of non-lichenized fungi from the Antarctic region. https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/00235.,Unclassified,UncertainAntartic,Non-lichenized,0,0,1,0,1
Flavoplaca citrina,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Telochistaceae,Flavoplaca,2013,,2013,Øvstedal D.O. and R. I. Lewis Smith 2001. Lichens of Antarctica and South Georgia. A guide to their identifi cation and ecology . Cambridge University Press Cambridge UK,Global,Cosmopolitan,Symbiont,0,0,1,1,1
Folsomia candida,Animalia,Arthropoda,Collembola,Entomobryomorpha,Isotomidae,Folsomia,1902,,1902,Antarctic Biodiversity Digital Database. Wauchope H. Shaw J.D. & Terauds A. A snapshot of biodiversity protection in Antarctica. Nat Commun 10 946 (2019).,Alien Non-Native Introduced,Cosmopolitan,Free-living,0,0,1,0,1
Fragilaria capucina,SAR/Protist,Ochrophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Fragilaria,1830,,1830,Sterken M. Verleyen E. Jones V.J. Hodgson D.A. Vyverman W. Sabbe K. & Van de Vjver B. (2015). An illustrated and annotated checklist of freshwater diatoms (Bacillariophyta) from Livingston Signy and Beak Island (Maritime Antarctic Region). Plant Ecology and Evolution 148(3): 431-455,Global,UncertainAntartic,Free-living,0,0,1,0,1
